player,perc_1st_serve,perc_1st_serve_points_won,perc_2nd_serve_points_won,perc_service_games_won,avg_aces__match,avg_double_faults_match,perc_1st_serve_return_points_won,perc_2nd_serve_return_points_won,perc_return_games_won,perc_break_points_converted,perc_break_points_saved,perc_tie_breaks_won,perc_deciding_sets_won,Score,Ranking
Jack Draper,0.10465116279069768,0.7674418604651163,0.4069767441860465,0.8023255813953488,24.209302325581394,-2.802325581395349,0.3023255813953488,0.8255813953488372,0.6395348837209303,0.6162790697674418,0.9767441860465116,-0.813953488372093,-2.63953488372093,3.6329999999999996,24
Novak Djokovic,0.7558139534883721,0.872093023255814,0.9651162790697675,0.9069767441860465,8.848837209302326,11.80232558139535,0.9069767441860465,0.9883720930232558,0.9186046511627907,0.8255813953488372,0.7325581395348837,1.2209302325581395,0.6976744186046512,3.2998000000000003,25
Oscar Otte,0.0,1.1511627906976745,0.13953488372093023,0.6511627906976745,29.651162790697676,-6.232558139534884,0.3372093023255814,0.2441860465116279,0.38372093023255816,0.4186046511627907,1.2790697674418605,0.9418604651162791,0.37209302325581395,3.2152000000000007,26
Lorenzo Sonego,0.9534883720930233,0.4418604651162791,0.27906976744186046,0.5116279069767442,9.395348837209303,12.965116279069768,0.6744186046511628,-0.09302325581395349,0.23255813953488372,0.7325581395348837,0.5465116279069767,0.9069767441860465,-1.0116279069767442,3.2018000000000004,27
Taro Daniel,0.29069767441860467,0.45348837209302323,0.03488372093023256,0.08139534883720931,8.104651162790697,12.593023255813954,0.5116279069767442,0.3488372093023256,0.3953488372093023,0.6976744186046512,0.08139534883720931,1.127906976744186,0.313953488372093,3.1696000000000004,28
Casper Ruud,1.302325581395349,1.5232558139534884,1.686046511627907,1.9186046511627908,7.72093023255814,9.290697674418604,0.813953488372093,0.9186046511627907,1.0232558139534884,0.38372093023255816,1.1511627906976745,2.5930232558139537,2.197674418604651,3.1286000000000005,29
Alexander Zverev,1.558139534883721,0.7209302325581395,-0.6744186046511628,1.0,20.03488372093023,-5.406976744186046,1.0465116279069768,0.32558139534883723,1.058139534883721,1.3837209302325582,0.10465116279069768,2.383720930232558,1.0116279069767442,3.1254,30
Andy Murray,-0.06976744186046512,0.6511627906976745,0.1744186046511628,0.23255813953488372,12.534883720930232,1.941860465116279,0.3488372093023256,0.9651162790697675,0.5581395348837209,0.4069767441860465,-0.313953488372093,0.20930232558139536,0.627906976744186,3.1132,31
Tallon Griekspoor,0.3953488372093023,0.5813953488372093,0.4186046511627907,0.5232558139534884,16.825581395348838,-1.3372093023255813,0.05813953488372093,0.46511627906976744,0.10465116279069768,0.05813953488372093,0.6744186046511628,0.43023255813953487,-0.8255813953488372,3.0498000000000003,32
J.J. Wolf,0.18604651162790697,0.5,0.10465116279069768,0.29069767441860467,14.279069767441861,-1.3372093023255813,0.45348837209302323,0.3953488372093023,0.45348837209302323,0.45348837209302323,0.22093023255813954,0.46511627906976744,0.9534883720930233,2.9844,33
Jannik Sinner,0.06976744186046512,0.686046511627907,0.7441860465116279,0.7093023255813954,9.895348837209303,0.3023255813953488,0.8255813953488372,0.8837209302325582,0.872093023255814,0.6976744186046512,0.6162790697674418,1.4534883720930232,1.1511627906976745,2.9391999999999996,34
Sebastian Korda,0.4069767441860465,0.3953488372093023,0.3023255813953488,0.5116279069767442,5.953488372093023,4.9186046511627906,0.8488372093023255,0.5581395348837209,0.8372093023255814,0.7674418604651163,0.5813953488372093,0.46511627906976744,0.16279069767441862,2.9026000000000005,35
Marcos Giron,0.38372093023255816,0.7093023255813954,0.7906976744186046,0.5697674418604651,-1.7209302325581395,16.151162790697676,0.3372093023255814,0.19767441860465115,0.29069767441860467,0.7906976744186046,0.10465116279069768,1.1046511627906976,0.3023255813953488,2.8228,36
Benjamin Bonzi,-0.47674418604651164,0.43023255813953487,0.5813953488372093,0.4883720930232558,6.372093023255814,3.5697674418604652,-0.313953488372093,0.5465116279069767,-0.313953488372093,-0.29069767441860467,0.5813953488372093,-0.6162790697674418,-0.9767441860465116,2.8196000000000008,37
Adrian Mannarino,0.22093023255813954,0.45348837209302323,0.8604651162790697,0.5697674418604651,1.7093023255813953,8.383720930232558,0.26744186046511625,0.7325581395348837,0.32558139534883723,0.11627906976744186,0.32558139534883723,0.6976744186046512,0.6046511627906976,2.7152000000000007,38
Mackenzie McDonald,0.6744186046511628,0.11627906976744186,0.32558139534883723,0.18604651162790697,0.23255813953488372,9.05813953488372,0.5116279069767442,0.6627906976744186,0.6511627906976745,0.8372093023255814,0.3372093023255814,0.13953488372093023,-0.7093023255813954,2.6994000000000002,39
Denis Shapovalov,0.313953488372093,0.8372093023255814,0.6976744186046512,0.8255813953488372,25.988372093023255,-22.697674418604652,0.29069767441860467,0.18604651162790697,0.19767441860465115,0.1511627906976744,0.813953488372093,0.5581395348837209,0.47674418604651164,2.6516,40
Cameron Norrie,1.2906976744186047,0.9186046511627907,0.5465116279069767,1.2093023255813953,-4.9186046511627906,12.546511627906977,1.2325581395348837,1.5813953488372092,1.941860465116279,1.8837209302325582,1.1162790697674418,2.116279069767442,2.802325581395349,2.5208000000000004,41
Alejandro Tabilo,0.5930232558139535,-0.20930232558139536,-0.7790697674418605,-0.7093023255813954,6.3604651162790695,-2.2906976744186047,1.4883720930232558,1.069767441860465,1.7906976744186047,1.441860465116279,-0.7441860465116279,-0.5232558139534884,1.058139534883721,2.516,42
Grigor Dimitrov,0.19767441860465115,0.6046511627906976,0.3372093023255814,0.45348837209302323,2.4186046511627906,0.023255813953488372,0.4883720930232558,0.26744186046511625,0.20930232558139536,0.1511627906976744,-0.03488372093023256,-0.6162790697674418,0.7558139534883721,2.5096,43
Botic van de Zandschulp,0.45348837209302323,0.5232558139534884,0.06976744186046512,0.32558139534883723,9.220930232558139,-10.709302325581396,0.7441860465116279,0.5813953488372093,0.7209302325581395,0.7906976744186046,0.47674418604651164,0.9418604651162791,0.36046511627906974,2.4836,44
Ugo Humbert,0.4883720930232558,0.20930232558139536,0.3488372093023256,0.3023255813953488,0.10465116279069768,3.63953488372093,0.313953488372093,0.13953488372093023,0.1511627906976744,0.18604651162790697,0.18604651162790697,-0.023255813953488372,-0.22093023255813954,2.4216,45
Jiri Lehecka,0.627906976744186,0.18604651162790697,0.36046511627906974,0.2558139534883721,-1.4534883720930232,4.22093023255814,0.2558139534883721,0.11627906976744186,0.23255813953488372,0.45348837209302323,0.38372093023255816,0.9534883720930233,0.8372093023255814,2.2994,46
Miomir Kecmanovic,0.813953488372093,0.5697674418604651,1.7790697674418605,0.8953488372093024,-14.383720930232558,17.488372093023255,1.255813953488372,1.802325581395349,1.6162790697674418,1.3372093023255813,1.0465116279069768,1.5930232558139534,1.6046511627906976,2.2776,47
Pablo Carreno Busta,0.7790697674418605,-0.09302325581395349,1.0232558139534884,0.5348837209302325,-12.848837209302326,13.488372093023257,0.13953488372093023,0.6976744186046512,0.5232558139534884,-0.20930232558139536,0.5232558139534884,0.9534883720930233,-0.3023255813953488,2.2764000000000006,48
Laslo Djere,0.2441860465116279,0.7674418604651163,0.19767441860465115,0.686046511627907,5.22093023255814,-10.046511627906977,0.19767441860465115,0.1744186046511628,0.37209302325581395,0.6395348837209303,0.7906976744186046,-2.4186046511627906,-0.7093023255813954,2.2582,49
Dominic Thiem,0.43023255813953487,-0.011627906976744186,0.7441860465116279,0.10465116279069768,-11.709302325581396,7.558139534883721,0.46511627906976744,0.13953488372093023,-0.046511627906976744,0.2558139534883721,-0.36046511627906974,1.0232558139534884,0.7674418604651163,2.246,50
Filip Krajinovic,0.5348837209302325,0.23255813953488372,0.6046511627906976,0.3372093023255814,-14.5,11.255813953488373,0.18604651162790697,0.5813953488372093,0.4418604651162791,0.9883720930232558,0.4069767441860465,0.6046511627906976,1.372093023255814,2.1488000000000005,51
Daniel Evans,0.36046511627906974,0.5465116279069767,0.5116279069767442,0.4186046511627907,-10.709302325581396,6.895348837209302,0.5930232558139535,0.7209302325581395,0.6511627906976745,0.7441860465116279,0.32558139534883723,0.46511627906976744,0.38372093023255816,2.0904000000000003,52
Dusan Lajovic,0.9302325581395349,0.08139534883720931,0.38372093023255816,0.10465116279069768,-18.03488372093023,17.558139534883722,0.3372093023255814,0.26744186046511625,0.2441860465116279,0.09302325581395349,0.09302325581395349,0.18604651162790697,-0.19767441860465115,2.0392,53
Soonwoo Kwon,0.1744186046511628,0.36046511627906974,0.2558139534883721,0.27906976744186046,-6.593023255813954,-0.6046511627906976,0.16279069767441862,0.813953488372093,0.5,0.47674418604651164,0.3023255813953488,2.9767441860465116,0.46511627906976744,1.9758,54
Ilya Ivashka,0.5,0.2558139534883721,0.2558139534883721,0.43023255813953487,-10.63953488372093,3.395348837209302,0.4418604651162791,0.3023255813953488,0.5697674418604651,0.9069767441860465,0.4186046511627907,-0.313953488372093,0.5581395348837209,1.9598000000000002,55
Jenson Brooksby,0.8953488372093024,-0.12790697674418605,0.6744186046511628,-0.08139534883720931,-25.151162790697676,18.3953488372093,0.9651162790697675,0.4883720930232558,1.2093023255813953,1.2093023255813953,0.08139534883720931,2.453488372093023,3.13953488372093,1.9426,56
