player,perc_1st_serve,perc_1st_serve_points_won,perc_2nd_serve_points_won,perc_service_games_won,avg_aces__match,avg_double_faults_match,perc_1st_serve_return_points_won,perc_2nd_serve_return_points_won,perc_return_games_won,perc_break_points_converted_x,perc_break_points_converted_y,perc_break_points_saved,perc_tie_breaks_won,perc_deciding_sets_won,Score,Ranking
Daniel Evans,0.36046511627906974,0.5465116279069767,0.5116279069767442,0.4186046511627907,-10.813953488372093,6.767441860465116,0.5930232558139535,0.7209302325581395,0.6511627906976745,0.7325581395348837,0.7325581395348837,0.32558139534883723,0.43023255813953487,0.38372093023255816,2.1736,52
Dusan Lajovic,0.9302325581395349,0.08139534883720931,0.38372093023255816,0.10465116279069768,-17.8953488372093,17.709302325581394,0.3372093023255814,0.26744186046511625,0.2441860465116279,0.09302325581395349,0.09302325581395349,0.09302325581395349,0.23255813953488372,-0.05813953488372093,2.1090000000000004,53
Soonwoo Kwon,0.1744186046511628,0.4418604651162791,0.26744186046511625,0.3372093023255814,-6.569767441860465,-0.5813953488372093,0.19767441860465115,0.9186046511627907,0.5930232558139535,0.5348837209302325,0.5348837209302325,0.3372093023255814,3.383720930232558,0.5581395348837209,2.0538000000000003,54
Ilya Ivashka,0.46511627906976744,0.09302325581395349,0.12790697674418605,0.3023255813953488,-10.744186046511627,3.3255813953488373,0.4186046511627907,0.20930232558139536,0.5116279069767442,0.9069767441860465,0.9069767441860465,0.38372093023255816,-0.38372093023255816,0.4883720930232558,2.0442,55
Jenson Brooksby,0.8953488372093024,-0.32558139534883723,0.6744186046511628,-0.2558139534883721,-25.24418604651163,18.24418604651163,0.9767441860465116,0.4883720930232558,1.2093023255813953,1.2093023255813953,1.197674418604651,0.011627906976744186,2.255813953488372,2.895348837209302,2.03,56
Alex de Minaur,0.20930232558139536,0.47674418604651164,1.2325581395348837,0.6511627906976745,-18.58139534883721,7.453488372093023,1.813953488372093,1.7325581395348837,2.0348837209302326,1.941860465116279,1.941860465116279,1.1511627906976745,1.802325581395349,1.0465116279069768,2.0142,57
Rafael Nadal,0.3488372093023256,0.2441860465116279,0.8023255813953488,0.5232558139534884,-8.895348837209303,-9.616279069767442,1.0,0.9069767441860465,1.3488372093023255,0.8837209302325582,0.8837209302325582,0.011627906976744186,3.0697674418604652,2.186046511627907,2.0138,58
Carlos Alcaraz,1.2209302325581395,0.8604651162790697,1.6046511627906976,1.6627906976744187,-18.186046511627907,1.697674418604651,1.744186046511628,1.4534883720930232,2.5,0.8953488372093024,0.8953488372093024,1.4767441860465116,1.802325581395349,3.116279069767442,1.9892,59
Tommy Paul,0.16279069767441862,0.3488372093023256,0.46511627906976744,0.5,-18.011627906976745,2.186046511627907,0.9767441860465116,0.4069767441860465,0.9883720930232558,0.5,0.5,0.5116279069767442,0.03488372093023256,1.127906976744186,1.9818,60
Alex Molcan,0.7209302325581395,-0.6162790697674418,0.7093023255813954,-0.3953488372093023,-22.75581395348837,6.093023255813954,0.6046511627906976,0.6046511627906976,0.4069767441860465,0.37209302325581395,0.37209302325581395,-0.1744186046511628,0.5,0.06976744186046512,1.9739999999999998,61
