player,age,g,gs,mp,fg_perc,3p_perc,2p_perc,efg_perc,ft_perc,orb,drb,trb,ast,stl,blk,tov,pf,Score,Ranking
Josh Giddey,-10.379821958456974,39.525222551928785,90.65281899109792,12.477744807121661,0.6023738872403561,0.29376854599406527,0.37091988130563797,0.2551928783382789,0.26706231454005935,1.083086053412463,3.6973293768545994,5.338278931750742,5.097922848664688,0.23738872403560832,0.12759643916913946,1.9584569732937684,-0.26706231454005935,46.695600000000006,26
Tobias Harris,9.554896142433234,36.833827893175076,88.24629080118694,18.97032640949555,0.744807121661721,0.7566765578635015,0.6706231454005934,0.7388724035608308,0.9080118694362018,0.37091988130563797,2.765578635014837,2.370919881305638,-0.1632047477744807,0.7002967359050445,0.5786350148367952,0.2789317507418398,0.5192878338278932,46.4622,27
Jabari Smith Jr.,-11.29080118694362,49.038575667655785,98.33531157270029,14.451038575667656,0.12166172106824925,0.19881305637982197,0.18991097922848665,0.0830860534124629,0.5311572700296736,1.172106824925816,4.275964391691395,5.943620178041543,-2.1958456973293767,-0.05637982195845697,1.3323442136498516,0.31750741839762614,1.7270029673590503,46.3526,28
Joel Embiid,5.516320474777448,19.373887240356083,72.86646884272997,24.55786350148368,0.857566765578635,0.3323442136498516,0.7626112759643917,0.7240356083086054,0.8041543026706232,1.4094955489614243,12.433234421364984,13.741839762611276,2.655786350148368,0.6973293768545994,2.830860534124629,3.507418397626113,2.222551928783383,46.23900000000002,29
Trae Young,-2.0682492581602374,35.96439169139466,86.97626112759644,26.356083086053413,0.2314540059347181,0.3768545994065282,0.14836795252225518,0.10979228486646884,0.9495548961424333,0.24629080118694363,-1.2937685459940653,-1.768545994065282,19.55786350148368,1.459940652818991,-0.12166172106824925,7.394658753709199,-0.3887240356083086,46.0622,30
Jaden McDaniels,-6.097922848664688,50.724035608308604,99.26706231454006,15.480712166172108,1.427299703264095,1.4154302670623145,1.3560830860534125,1.403560830860534,0.49851632047477745,1.0593471810089021,-0.6528189910979229,-0.42729970326409494,-0.9080118694362018,1.1780415430267062,1.7477744807121662,0.6884272997032641,2.973293768545994,45.966000000000015,31
Kevon Looney,1.2433234421364985,57.27002967359051,80.25816023738872,-1.5341246290801187,0.9198813056379822,-0.9525222551928784,0.827893175074184,0.8813056379821959,-0.8486646884272997,5.777448071216617,6.700296735905044,11.833827893175075,-0.9554896142433235,-0.47181008902077154,0.41839762611275966,-1.9376854599406528,0.7299703264094956,45.95959999999999,32
Alperen Þengün,-8.821958456973293,42.468842729970326,85.87240356083086,12.887240356083087,0.8664688427299704,0.34718100890207715,0.6765578635014837,0.6350148367952523,0.27299703264094954,9.379821958456974,8.949554896142434,13.664688427299703,6.059347181008902,1.142433234421365,3.026706231454006,6.204747774480712,6.753709198813056,45.667199999999994,33
Kentavious Caldwell-Pope,10.887240356083087,44.80712166172107,93.81305637982196,19.281899109792285,0.516320474777448,1.2492581602373887,0.27596439169139464,0.7210682492581603,0.9643916913946587,-0.27299703264094954,-0.8011869436201781,-1.9347181008902077,1.8456973293768546,4.6973293768546,1.4391691394658754,0.6201780415430267,0.9317507418397626,45.596,34
De'Aaron Fox,0.3620178041543027,36.61721068249258,87.00890207715133,24.385756676557865,0.9614243323442137,0.4065281899109792,0.9970326409495549,0.6379821958456974,0.6973293768545994,-0.6646884272997032,2.635014836795252,1.4985163204747773,9.706231454005934,2.3531157270029674,0.20474777448071216,5.507418397626113,2.5044510385756675,45.571400000000004,35
Fred VanVleet,6.816023738872404,26.810089020771514,78.33234421364985,33.25816023738872,-0.4065281899109792,0.44510385756676557,-0.486646884272997,-0.20474777448071216,1.5281899109792285,-1.774480712166172,1.9020771513353116,0.456973293768546,11.967359050445104,5.041543026706232,1.029673590504451,3.026706231454006,3.5845697329376853,45.5548,36
P.J. Tucker,33.21364985163205,40.275964391691396,89.486646884273,2.172106824925816,-0.07418397626112759,0.7804154302670623,-0.16913946587537093,0.4391691394658754,0.6765578635014837,1.1602373887240356,-1.7448071216617211,-0.8664688427299704,-5.029673590504451,-1.6795252225519288,-1.456973293768546,-2.99406528189911,1.2403560830860534,45.53539999999999,37
Luka Don?i?,-5.652818991097923,19.136498516320476,71.49554896142433,31.670623145400594,1.5311572700296736,0.9347181008902077,1.771513353115727,1.261127596439169,0.7626112759643917,0.36795252225519287,11.617210682492582,11.183976261127597,15.008902077151335,3.8813056379821957,1.6142433234421365,6.373887240356083,2.973293768545994,45.42560000000001,38
Derrick White,5.572700296735905,56.910979228486646,78.28486646884274,8.6053412462908,0.0771513353115727,0.5964391691394659,0.21364985163204747,0.2997032640949555,1.3531157270029674,-1.2967359050445104,-1.228486646884273,-2.0682492581602374,2.578635014836795,0.0830860534124629,2.2818991097922847,-0.5074183976261127,0.8130563798219584,45.42519999999999,39
Keegan Murray,-9.483679525222552,51.05044510385757,93.98219584569733,11.759643916913946,0.12462908011869436,0.9347181008902077,0.10385756676557864,0.7299703264094956,0.020771513353115726,-0.002967359050445104,-0.2818991097922849,-0.2818991097922849,-4.955489614243324,-0.17210682492581603,-0.008902077151335312,-2.8813056379821957,-0.7062314540059347,45.408,40
Giannis Antetokounmpo,4.949554896142433,10.753709198813056,63.69436201780415,18.100890207715132,0.8664688427299704,0.1632047477744807,0.8100890207715133,0.7062314540059347,0.11275964391691394,2.7329376854599405,17.020771513353115,21.397626112759642,5.86053412462908,0.43026706231454004,1.42433234421365,4.545994065281899,2.7744807121661723,45.328199999999995,41
Jakob Poeltl,1.7804154302670623,30.70326409495549,78.83086053412462,2.6706231454005933,0.9376854599406528,-0.8991097922848664,0.8724035608308606,0.9109792284866469,-0.142433234421365,3.492581602373887,3.9821958456973294,11.543026706231455,-1.2670623145400592,0.5637982195845698,1.6676557863501484,0.35311572700296734,1.4629080118694362,45.27599999999999,42
Mason Plumlee,16.91394658753709,48.29376854599406,57.454005934718104,1.4391691394658754,0.9792284866468842,-0.13649851632047477,0.9703264094955489,0.973293768545994,0.08902077151335312,2.5044510385756675,4.593471810089021,11.264094955489615,-0.7774480712166172,-0.11275964391691394,0.486646884272997,-0.1572700296735905,1.1661721068249258,45.19520000000001,43
Jalen Green,-13.925816023738873,41.724035608308604,89.75964391691394,25.448071216617212,0.16913946587537093,0.4035608308605341,0.12759643916913946,0.10979228486646884,0.5222551928783383,-0.543026706231454,-1.1038575667655786,-2.3382789317507418,1.3738872403560831,0.47774480712166173,-0.08605341246290801,1.8308605341246291,-0.18397626112759644,45.039200000000015,44
Paolo Banchero,-12.246290801186944,33.76557863501483,82.79228486646885,26.919881305637983,0.21364985163204747,0.17507418397626112,0.12759643916913946,0.05934718100890208,0.3086053412462908,1.1513353115727003,8.376854599406528,9.198813056379821,3.922848664688427,0.5548961424332344,0.5875370919881305,4.465875370919881,1.0445103857566767,44.799800000000005,45
P.J. Washington,-2.4094955489614245,36.474777448071215,85.00890207715133,23.91394658753709,0.37091988130563797,0.5103857566765578,0.34124629080118696,0.3056379821958457,0.314540059347181,0.9436201780415431,2.8902077151335313,3.112759643916914,0.5341246290801187,1.056379821958457,2.6468842729970326,1.3086053412462908,2.4718100890207717,44.692,46
Jrue Holiday,21.181008902077153,21.421364985163205,68.40059347181008,23.605341246290802,0.5816023738872403,0.771513353115727,0.49554896142433236,0.5608308605341247,0.887240356083086,1.1275964391691395,2.6617210682492582,3.5905044510385755,17.810089020771514,1.6617210682492582,0.22551928783382788,5.635014836795253,-0.3798219584569733,44.644,47
Jaylen Brown,3.1810089020771515,21.142433234421365,71.6706231454006,33.225519287833826,0.6765578635014837,0.37091988130563797,0.7032640949554896,0.5222551928783383,0.44510385756676557,1.0118694362017804,9.385756676557863,10.332344213649852,4.112759643916914,1.3946587537091988,0.18397626112759644,6.097922848664688,2.1394658753709197,44.583400000000005,48
RJ Barrett,-8.166172106824925,36.068249258160236,84.15430267062314,27.73887240356083,0.29080118694362017,0.29673590504451036,0.2433234421364985,0.11572700296735905,0.4421364985163205,0.1632047477744807,4.4777448071216615,3.8902077151335313,2.1602373887240356,-0.44510385756676557,-0.13649851632047477,3.8664688427299705,2.477744807121662,44.492799999999995,49
Jarrett Allen,-3.370919881305638,22.724035608308604,72.92284866468843,23.19287833827893,0.9554896142433235,-0.887240356083086,0.9198813056379822,0.9317507418397626,-0.04154302670623145,9.213649851632047,12.474777448071217,18.95252225519288,-2.3264094955489614,0.13353115727002968,2.887240356083086,0.1543026706231454,1.0148367952522255,44.475,50
Kelly Olynyk,18.54005934718101,23.041543026706233,73.04451038575668,11.729970326409495,0.7270029673590505,0.9198813056379822,0.7210682492581603,0.7804154302670623,0.9614243323442137,1.718100890207715,7.593471810089021,8.433234421364984,5.169139465875371,1.3026706231454006,1.0178041543026706,5.614243323442136,6.718100890207715,44.381000000000014,51
Shai Gilgeous-Alexander,-3.258160237388724,22.525222551928785,72.40356083086053,31.71513353115727,0.7507418397626113,0.49258160237388726,0.4362017804154303,0.3649851632047478,1.1661721068249258,0.11275964391691394,3.3827893175074184,2.8486646884273,11.41839762611276,4.403560830860534,2.943620178041543,6.359050445103858,3.9258160237388724,44.344800000000006,52
D'Angelo Russell,2.3323442136498516,29.347181008902076,77.89020771513353,22.391691394658753,0.5281899109792285,0.8694362017804155,0.543026706231454,0.7062314540059347,0.7477744807121661,-1.5786350148367954,-2.2195845697329375,-3.7181008902077153,13.350148367952523,1.4985163204747773,0.10089020771513353,5.43026706231454,0.34718100890207715,44.30280000000001,53
Klay Thompson,20.05637982195846,24.172106824925816,73.32640949554896,23.676557863501483,0.27596439169139464,1.0178041543026706,0.11572700296735905,0.5608308605341247,1.089020771513353,-1.1661721068249258,1.6765578635014837,-0.008902077151335312,-0.026706231454005934,0.1394658753709199,0.1572700296735905,2.4124629080118694,-0.02373887240356083,44.2506,54
Jaden Ivey,-15.409495548961424,36.08605341246291,81.0326409495549,17.658753709198812,0.10682492581602374,0.5519287833827893,0.050445103857566766,0.06528189910979229,0.4362017804154303,0.6795252225519288,-1.089020771513353,-0.9703264094955489,9.756676557863502,0.7685459940652819,-0.7210682492581603,7.783382789317508,5.640949554896142,44.208,55
Kevin Huerter,-4.931750741839763,38.02670623145401,84.3026706231454,11.830860534124628,0.5578635014836796,0.9673590504451038,0.8427299703264095,0.8456973293768546,0.08902077151335312,-1.5578635014836795,-2.0,-3.623145400593472,0.8367952522255193,1.9317507418397626,-0.44807121661721067,-0.2403560830860534,1.6409495548961424,44.1838,56
Dillon Brooks,4.086053412462908,32.52225519287834,79.75074183976261,14.181008902077151,-0.011869436201780416,0.3590504451038576,-0.008902077151335312,0.03857566765578635,0.5816023738872403,-1.682492581602374,-2.6379821958456975,-3.973293768545994,-0.5548961424332344,0.8367952522255193,-1.0445103857566767,-0.10385756676557864,4.851632047477745,44.144,57
Donovan Mitchell,0.2522255192878338,19.498516320474778,68.72106824925817,29.82492581602374,0.5667655786350149,0.7833827893175074,0.6439169139465876,0.6884272997032641,0.884272997032641,-0.7655786350148368,-0.8783382789317508,-0.7240356083086054,5.534124629080119,2.3857566765578637,-0.26112759643916916,4.103857566765579,1.3857566765578635,44.115,58
Luguentz Dort,-8.810089020771514,34.26706231454006,78.8427299703264,15.0,0.06528189910979229,0.3293768545994065,0.06231454005934718,0.06231454005934718,0.4836795252225519,2.486646884272997,-1.9495548961424332,0.8130563798219584,-2.4718100890207717,0.8635014836795252,-0.28486646884273,-0.9287833827893175,5.154302670623146,44.039200000000015,59
John Collins,-2.379821958456973,26.724035608308604,74.486646884273,13.17507418397626,0.7596439169139466,0.16023738872403562,0.8605341246290801,0.5786350148367952,0.6112759643916914,0.6617210682492581,7.370919881305638,6.967359050445104,-5.189910979228487,-0.0712166172106825,2.43026706231454,-0.7655786350148368,5.023738872403561,43.9558,60
Kristaps Porzi??is,3.56379821958457,11.56973293768546,61.804154302670625,20.71513353115727,0.8397626112759644,0.887240356083086,0.7388724035608308,0.7062314540059347,1.1810089020771513,4.459940652818991,10.323442136498516,12.183976261127597,0.7922848664688428,1.231454005934718,5.851632047477745,3.9881305637982196,4.98813056379822,43.891600000000004,61
Jimmy Butler,21.12759643916914,8.459940652818991,58.89317507418398,22.5459940652819,0.7922848664688428,0.4421364985163205,0.5934718100890207,0.5519287833827893,0.7952522255192879,5.059347181008902,1.2789317507418398,4.4777448071216615,7.465875370919881,5.160237388724036,-0.5341246290801187,1.1691394658753709,-2.5816023738872405,43.872600000000006,62
Deandre Ayton,-5.85459940652819,15.97626112759644,64.93175074183976,13.821958456973293,1.2047477744807122,0.26706231454005935,0.887240356083086,0.8397626112759644,0.516320474777448,6.471810089020772,12.02373887240356,16.816023738872403,-2.9554896142433233,0.1661721068249258,3.059347181008902,2.8189910979228485,4.1246290801186944,43.786,63
Darius Garland,-9.281899109792285,20.468842729970326,68.55786350148368,27.85459940652819,0.7151335311572701,1.71513353115727,0.26409495548961426,0.6350148367952523,1.6587537091988132,-2.0118694362017804,-3.71513353115727,-5.910979228486647,14.98219584569733,3.1275964391691393,-1.1839762611275964,5.578635014836795,1.0741839762611276,43.75280000000001,64
Lauri Markkanen,-4.059347181008902,12.106824925816024,61.38575667655786,24.10385756676558,0.5192878338278932,0.8249258160237388,0.599406528189911,0.6706231454005934,0.9792284866468842,3.0890207715133533,8.599406528189911,11.166172106824925,-3.4896142433234423,-0.9228486646884273,1.002967359050445,1.7121661721068249,0.19287833827893175,43.74720000000001,65
Jalen Brunson,-1.6231454005934718,16.376854599406528,64.90504451038575,25.219584569732937,0.8160237388724035,1.317507418397626,0.40059347181008903,0.5667655786350149,1.0623145400593472,-1.6261127596439169,-2.163204747774481,-4.166172106824926,8.442136498516321,0.9465875370919882,-0.9287833827893175,1.9317507418397626,0.5816023738872403,43.7004,66
James Harden,18.72106824925816,-8.026706231454005,44.01186943620178,28.9080118694362,0.13056379821958458,0.7032640949554896,-0.09198813056379822,0.2997032640949555,0.8486646884272997,-1.8694362017804154,3.8605341246290803,2.7299703264094957,21.498516320474778,1.1869436201780414,-0.0712166172106825,4.178041543026707,-1.2967359050445104,43.6848,67
Mike Conley,24.851632047477747,13.323442136498516,59.85163204747774,11.28486646884273,0.228486646884273,0.7210682492581603,0.18397626112759644,0.44807121661721067,0.7240356083086054,-1.8694362017804154,-5.1513353115727005,-7.103857566765579,10.13353115727003,0.7507418397626113,-0.6112759643916914,-0.314540059347181,-0.11275964391691394,43.5944,68
Kyle Kuzma,2.341246290801187,6.931750741839763,56.55786350148368,25.655786350148368,0.39762611275964393,0.4540059347181009,0.4540059347181009,0.2878338278931751,0.3323442136498516,0.6231454005934718,8.445103857566766,7.744807121661721,2.5281899109792283,0.32047477744807124,1.1454005934718101,4.154302670623146,1.5519287833827893,43.4324,69
Aaron Gordon,2.169139465875371,16.320474777448073,64.16320474777449,12.086053412462908,1.655786350148368,0.6201780415430267,1.5548961424332344,1.3620178041543027,-0.2551928783382789,2.9258160237388724,1.3353115727002967,5.459940652818991,-0.16913946587537093,0.8338278931750742,1.510385756676558,0.3115727002967359,0.16913946587537093,43.39,70
OG Anunoby,-4.471810089020772,13.163204747774481,61.39169139465876,25.655786350148368,0.4035608308605341,0.7062314540059347,0.26409495548961426,0.4332344213649852,0.6528189910979229,0.06231454005934718,-1.2195845697329377,-0.05934718100890208,-3.6735905044510386,1.032640949554896,0.44807121661721067,0.314540059347181,1.1097922848664687,43.3792,71
Jarred Vanderbilt,-7.0385756676557865,43.19287833827893,59.53412462908012,-2.9881305637982196,2.0712166172106823,0.5934718100890207,1.8783382789317506,1.5489614243323442,0.4094955489614243,5.077151335311573,7.893175074183977,11.27299703264095,1.0949554896142433,3.264094955489614,0.744807121661721,1.5489614243323442,3.2462908011869436,43.049,72
Torrey Craig,19.14540059347181,44.51632047477745,48.26706231454006,-2.163204747774481,0.020771513353115726,0.913946587537092,-0.2195845697329377,0.26706231454005935,-0.4332344213649852,3.626112759643917,1.6943620178041543,4.106824925816023,-2.394658753709199,-0.03857566765578635,2.5875370919881306,-0.3649851632047478,2.0237388724035608,43.04719999999999,73
Josh Hart,3.56379821958457,36.65875370919881,31.58160237388724,18.94658753709199,0.7062314540059347,0.6765578635014837,0.8011869436201781,0.7537091988130564,-0.02967359050445104,2.863501483679525,8.136498516320474,10.370919881305637,3.922848664688427,2.341246290801187,-0.5667655786350149,1.0445103857566767,2.2255192878338277,43.028000000000006,74
LeBron James,32.724035608308604,-14.922848664688427,34.99406528189911,26.270029673590503,0.7181008902077152,0.32047477744807124,0.7418397626112759,0.5074183976261127,0.4896142433234421,1.0148367952522255,10.961424332344214,11.578635014836795,12.13353115727003,0.9584569732937686,1.2077151335311573,5.795252225519288,-1.317507418397626,42.9836,75
Al Horford,27.93471810089021,3.6824925816023737,52.45994065281899,13.47181008902077,0.5905044510385756,1.2492581602373887,0.49851632047477745,1.1157270029673592,0.2551928783382789,0.47477744807121663,4.667655786350148,5.166172106824926,0.599406528189911,-0.9287833827893175,1.6261127596439169,-2.5816023738872405,-0.5133531157270029,42.94040000000001,76
Tyler Herro,-9.783382789317507,12.827893175074184,60.04154302670623,23.62908011869436,0.20771513353115728,0.6824925816023739,0.09495548961424333,0.33827893175074186,0.9851632047477745,-2.4658753709198815,4.0474777448071215,2.0741839762611276,3.6973293768545994,-0.08011869436201781,-1.0801186943620178,1.8694362017804154,-2.513353115727003,42.91579999999999,77
Patrick Beverley,24.98813056379822,15.42433234421365,61.931750741839764,6.448071216617211,0.18397626112759644,0.9525222551928784,0.9080118694362018,0.4391691394658754,0.6913946587537092,1.5370919881305638,1.4985163204747773,0.4599406528189911,3.2166172106824926,3.364985163204748,3.8813056379821957,0.7032640949554896,5.459940652818991,42.619600000000005,78
Patrick Williams,-13.439169139465875,49.54005934718101,56.89317507418398,8.777448071216618,0.33827893175074186,1.8545994065281899,-0.35014836795252224,0.3857566765578635,1.827893175074184,2.0089020771513355,0.5341246290801187,0.3293768545994065,-3.112759643916914,2.459940652818991,4.044510385756676,1.1661721068249258,0.8071216617210683,42.616600000000005,79
Chris Paul,29.64985163204748,-6.474777448071217,43.59940652818991,17.2433234421365,-0.2997032640949555,0.8753709198813057,-0.9436201780415431,-0.47774480712166173,1.1543026706231454,-1.2551928783382789,2.121661721068249,0.39465875370919884,18.976261127596437,3.7833827893175074,0.6528189910979229,2.6706231454005933,1.032640949554896,42.60820000000002,80
Clint Capela,6.080118694362018,7.804154302670623,51.13946587537092,2.258160237388724,2.649851632047478,-2.836795252225519,2.0741839762611276,2.0534124629080117,-2.1602373887240356,8.646884272997033,10.87833827893175,19.216617210682493,-5.792284866468843,-0.13353115727002968,2.9525222551928785,-2.1186943620178043,0.3323442136498516,42.59260000000001,81
Trey Murphy III,-12.537091988130564,40.56379821958457,54.34421364985163,13.299703264094955,0.4065281899109792,1.0949554896142433,1.1275964391691395,1.1216617210682494,1.5578635014836795,-1.5578635014836795,-2.5548961424332344,-3.3293768545994067,-4.667655786350148,1.1454005934718101,0.2818991097922849,-2.8724035608308607,-0.8367952522255193,42.583200000000005,82
